workclass,marital-status,occupation,race,sex,hours-per-week,native-country,income,net_capital,age_group,education_level
State-gov,Never-married,Adm-clerical,White,Male,40,United-States,<=50K,2174,middle_aged,High
Self-emp-not-inc,Married-civ-spouse,Exec-managerial,White,Male,13,United-States,<=50K,0,middle_aged,High
Private,Divorced,Handlers-cleaners,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Handlers-cleaners,Black,Male,40,United-States,<=50K,0,senior,Medium
Private,Married-civ-spouse,Prof-specialty,Black,Female,40,Cuba,<=50K,0,young_adult,High
Private,Married-civ-spouse,Exec-managerial,White,Female,40,United-States,<=50K,0,middle_aged,High
Private,Married-spouse-absent,Other-service,Black,Female,16,Other,<=50K,0,middle_aged,Low
Self-emp-not-inc,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K,0,senior,Medium
Private,Never-married,Prof-specialty,White,Female,50,United-States,>50K,14084,young_adult,High
Private,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K,5178,middle_aged,High
Private,Married-civ-spouse,Exec-managerial,Black,Male,80,United-States,>50K,0,middle_aged,Medium
State-gov,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,40,India,>50K,0,young_adult,High
Private,Never-married,Adm-clerical,White,Female,30,United-States,<=50K,0,young,High
Private,Never-married,Sales,Black,Male,50,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,40,Other,>50K,0,middle_aged,Medium
Private,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,45,Mexico,<=50K,0,young_adult,Low
Self-emp-not-inc,Never-married,Farming-fishing,White,Male,35,United-States,<=50K,0,young,Medium
Private,Never-married,Machine-op-inspct,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Sales,White,Male,50,United-States,<=50K,0,middle_aged,Medium
Self-emp-not-inc,Divorced,Exec-managerial,White,Female,45,United-States,>50K,0,middle_aged,High
Private,Married-civ-spouse,Prof-specialty,White,Male,60,United-States,>50K,0,middle_aged,High
Private,Separated,Other-service,Black,Female,20,United-States,<=50K,0,senior,Medium
Federal-gov,Married-civ-spouse,Farming-fishing,Black,Male,40,United-States,<=50K,0,young_adult,Low
Private,Married-civ-spouse,Transport-moving,White,Male,40,United-States,<=50K,-2042,middle_aged,Medium
Private,Divorced,Tech-support,White,Female,40,United-States,<=50K,0,senior,Medium
Local-gov,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K,0,senior,High
Private,Never-married,Craft-repair,White,Male,40,United-States,<=50K,0,young,Medium
Private,Divorced,Exec-managerial,White,Male,80,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Local-gov,Never-married,Protective-serv,White,Male,52,United-States,<=50K,0,young,Medium
Private,Never-married,Sales,Black,Male,44,United-States,<=50K,0,young,Medium
Private,Divorced,Exec-managerial,White,Male,40,United-States,<=50K,-1408,middle_aged,High
Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,<=50K,0,young_adult,Medium
State-gov,Married-civ-spouse,Other-service,Black,Male,15,United-States,<=50K,0,young,Medium
Private,Never-married,Machine-op-inspct,White,Male,40,Puerto-Rico,<=50K,0,middle_aged,Medium
Private,Never-married,Machine-op-inspct,White,Male,40,United-States,<=50K,0,young,Medium
Private,Married-AF-spouse,Adm-clerical,White,Female,25,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Sales,White,Male,38,Other,>50K,0,young_adult,Medium
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Machine-op-inspct,White,Male,43,United-States,<=50K,0,young_adult,Low
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,<=50K,0,senior,High
Private,Married-civ-spouse,Tech-support,White,Male,50,United-States,<=50K,0,young,High
Private,Separated,Adm-clerical,White,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Handlers-cleaners,White,Male,35,United-States,<=50K,0,young,Medium
Federal-gov,Married-civ-spouse,Prof-specialty,Black,Male,40,United-States,>50K,0,senior,High
Private,Married-civ-spouse,Machine-op-inspct,White,Male,38,United-States,<=50K,0,senior,Medium
Private,Divorced,Exec-managerial,White,Female,40,United-States,<=50K,0,middle_aged,High
State-gov,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Prof-specialty,White,Male,43,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Exec-managerial,Other,Female,40,United-States,<=50K,0,young,Medium
Private,Never-married,Other-service,White,Female,30,Other,<=50K,0,young,Medium
Private,Married-civ-spouse,Prof-specialty,White,Female,60,Other,>50K,-1902,middle_aged,High
Federal-gov,Divorced,Exec-managerial,White,Male,55,United-States,>50K,0,middle_aged,High
Self-emp-inc,Divorced,Exec-managerial,White,Male,60,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K,0,middle_aged,Medium
Private,Married-civ-spouse,Machine-op-inspct,White,Male,40,Mexico,<=50K,0,middle_aged,Low
Private,Married-civ-spouse,Other-service,White,Male,40,Puerto-Rico,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Adm-clerical,White,Male,48,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,<=50K,5013,young_adult,Medium
Private,Married-civ-spouse,Sales,White,Male,40,United-States,<=50K,2407,young_adult,High
Private,Married-civ-spouse,Transport-moving,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Prof-specialty,White,Male,45,United-States,>50K,0,middle_aged,High
Private,Divorced,Tech-support,White,Male,58,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Divorced,Adm-clerical,White,Female,40,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Adm-clerical,White,Female,40,United-States,>50K,0,senior,Medium
Self-emp-inc,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K,0,middle_aged,Medium
Private,Never-married,Prof-specialty,White,Male,32,United-States,<=50K,0,young,Medium
Private,Separated,Sales,Black,Female,40,United-States,<=50K,0,young_adult,High
Self-emp-not-inc,Married-civ-spouse,Sales,White,Male,70,United-States,>50K,0,young_adult,High
Private,Never-married,Machine-op-inspct,White,Male,40,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Prof-specialty,White,Male,20,United-States,<=50K,0,elderly,Medium
Private,Never-married,Other-service,White,Male,40,Mexico,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Other-service,White,Female,22,United-States,<=50K,0,young,Medium
Local-gov,Married-civ-spouse,Farming-fishing,White,Male,40,United-States,<=50K,0,young_adult,Low
Private,Never-married,Sales,White,Male,30,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Other-service,White,Male,40,Cuba,<=50K,0,senior,High
Private,Married-civ-spouse,Other-service,White,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Sales,White,Male,48,United-States,<=50K,0,senior,Medium
